original_order,id,title,multiauthored,authors,repeat_author
976,56366617,Not a Happy Family,0,Shari Lapena,1
977,56213354,A Slow Fire Burning,0,Paula Hawkins,1
978,50516731,Every Last Secret,0,A.R. Torre,1
979,57505278,All Her Little Secrets,0,Wanda M. Morris,0
980,58745185,Malibu Rising,0,Taylor Jenkins Reid,1
981,57175097,The Four Winds,0,Kristin Hannah,1
982,53288434,The Lost Apothecary,0,Sarah Penner,0
983,53914937,The Rose Code,0,Kate Quinn,1
984,57109107,The Lincoln Highway,0,Amor Towles,1
985,52761909,The Paris Library,0,Janet Skeslien Charles,0
986,54814839,The Dictionary of Lost Words,0,Pip Williams,0
987,54063343,Hour of the Witch,0,Chris Bohjalian,1
988,55333938,The Personal Librarian,1,Marie Benedict,0
988,55333938,The Personal Librarian,1,Victoria Christopher Murray,0
989,54304031,Yellow Wife,0,Sadeqa Johnson,1
990,56435922,The Prophets,0,Robert Jones Jr.,0
991,53138197,Of Women and Salt,0,Gabriela Garcia,0
992,54304125,The Final Revival of Opal & Nev,0,Dawnie Walton,0
993,51183428,The Love Songs of W.E.B. Du Bois,0,Honorée Fanonne Jeffers,0
994,58997456,Great Circle,0,Maggie Shipstead,0
995,40204619,Eternal,0,Lisa Scottoline,1
996,55881796,Crossroads,0,Jonathan Franzen,1
997,56382412,Small Pleasures,0,Clare Chambers,0
998,53453399,West with Giraffes,0,Lynda Rutledge,0
999,54404602,The Sweetness of Water,0,Nathan Harris,0
1000,53138095,A ​Court of Silver Flames,0,Sarah J. Maas,1
1001,53205888,Under the Whispering Door,0,T.J. Klune,1
1002,55240343,The ​Crown of Gilded Bones,0,Jennifer L. Armentrout,1
1003,55077538,She Who Became the Sun,0,Shelley Parker-Chan,0
1004,54860614,Ariadne,0,Jennifer Saint,1
1005,55559887,The Last Graduate,0,Naomi Novik,1
1006,56898179,The Book of Magic,0,Alice Hoffman,1
1007,53438195,The Witch's Heart,0,Genevieve Gornichec,0
1008,56898076,The Inheritance of Orquídea Divina,0,Zoraida Córdova,0
1009,52694527,The Shadow of the Gods,0,John Gwynne,0
1010,53418394,For the Wolf,0,Hannah F. Whitten,1
1011,50523477,The Jasmine Throne,0,Tasha Suri,0
1012,55169019,The Chosen and the Beautiful,0,Nghi Vo,1
1013,55077706,A Master of Djinn,0,P. Djèlí Clark,1
1014,51530580,Malice,0,Heather Walter,0
1015,55276504,The Hidden Palace,0,Helene Wecker,1
1016,48915408,The Wolf and the Woodsman,0,Ava Reid,1
1017,56179356,A Spindle Splintered,0,Alix E. Harrow,1
1018,48915089,Sorrowland,0,Rivers Solomon,1
1019,54467051,The Unbroken,0,C.L. Clark,0
1020,54985743,People We Meet on Vacation,0,Emily Henry,1
1021,56732449,The Love Hypothesis,0,Ali Hazelwood,1
1022,54860443,One Last Stop,0,Casey McQuiston,1
1023,57190892,The Spanish Love Deception,0,Elena Armas,1
1024,53914936,"Act Your Age, Eve Brown",0,Talia Hibbert,1
1025,56554626,The Ex Hex,0,Erin Sterling,1
1026,54659771,Neon Gods,0,Katee Robert,1
1027,58235157,Seven Days in June,0,Tia Williams,1
1028,55659629,It Happened One Summer,0,Tessa Bailey,1
1029,55692620,The Soulmate Equation,0,Christina Lauren,1
